CHLRE_01g000017v5 Cre01.g000017
CHLRE_01g003200v5 Cre01.g003200
CHLRE_01g003250v5 Cre01.g003250
CHLRE_01g003300v5 Cre01.g003300
CHLRE_01g003376v5 Cre01.g003376
CHLRE_01g003450v5 Cre01.g003450
CHLRE_01g003463v5 Cre01.g003463
CHLRE_01g003475v5 Cre01.g003475
CHLRE_01g003487v5 Cre01.g003487
CHLRE_01g003500v5 Cre01.g003500
CHLRE_01g003508v5 Cre01.g003508
CHLRE_01g003516v5 Cre01.g003516
CHLRE_01g003524v5 Cre01.g003524
CHLRE_01g003532v5 Cre01.g003532
CHLRE_01g003541v5 Cre01.g003541
CHLRE_01g003550v5 Cre01.g003550
CHLRE_01g003600v5 Cre01.g003600
CHLRE_01g003650v5 Cre01.g003650
CHLRE_01g003700v5 Cre01.g003700
CHLRE_01g003751v5 Cre01.g003751
CHLRE_01g003800v5 Cre01.g003800
CHLRE_01g003826v5 Cre01.g003826
CHLRE_01g003850v5 Cre01.g003850
CHLRE_01g003950v5 Cre01.g003950
CHLRE_01g004000v5 Cre01.g004000
CHLRE_01g004050v5 Cre01.g004050
CHLRE_01g004124v5 Cre01.g004124
CHLRE_01g004157v5 Cre01.g004157
CHLRE_01g004200v5 Cre01.g004200
CHLRE_01g004250v5 Cre01.g004250
CHLRE_01g004300v5 Cre01.g004300
CHLRE_01g004350v5 Cre01.g004350
CHLRE_01g004400v5 Cre01.g004400
CHLRE_01g004450v5 Cre01.g004450
CHLRE_01g004500v5 Cre01.g004500
CHLRE_01g004550v5 Cre01.g004550
CHLRE_01g004600v5 Cre01.g004600
CHLRE_01g004651v5 Cre01.g004651
CHLRE_01g004700v5 Cre01.g004700
CHLRE_01g004750v5 Cre01.g004750
CHLRE_01g004800v5 Cre01.g004800
CHLRE_01g004850v5 Cre01.g004850
CHLRE_01g004900v5 Cre01.g004900
CHLRE_01g004926v5 Cre01.g004926
CHLRE_01g004950v5 Cre01.g004950
CHLRE_01g005001v5 Cre01.g005001
CHLRE_01g005050v5 Cre01.g005050
CHLRE_01g005100v5 Cre01.g005100
CHLRE_01g005126v5 Cre01.g005126
CHLRE_01g005150v5 Cre01.g005150
CHLRE_01g005200v5 Cre01.g005200
CHLRE_01g005250v5 Cre01.g005250
CHLRE_01g005300v5 Cre01.g005300
CHLRE_01g005350v5 Cre01.g005350
CHLRE_01g005400v5 Cre01.g005400
CHLRE_01g005450v5 Cre01.g005450
CHLRE_01g005500v5 Cre01.g005500
CHLRE_01g005534v5 Cre01.g005534
CHLRE_01g005543v5 Cre01.g005543
CHLRE_01g005550v5 Cre01.g005550
CHLRE_01g005600v5 Cre01.g005600
CHLRE_01g005651v5 Cre01.g005651
CHLRE_01g005701v5 Cre01.g005701
CHLRE_01g005750v5 Cre01.g005750
CHLRE_01g005813v5 Cre01.g005813
CHLRE_01g005850v5 Cre01.g005850
CHLRE_01g005900v5 Cre01.g005900
CHLRE_01g005950v5 Cre01.g005950
CHLRE_01g006000v5 Cre01.g006000
CHLRE_01g006050v5 Cre01.g006050
CHLRE_01g006100v5 Cre01.g006100
CHLRE_01g006150v5 Cre01.g006150
CHLRE_01g006202v5 Cre01.g006202
CHLRE_01g006250v5 Cre01.g006250
CHLRE_01g006301v5 Cre01.g006301
CHLRE_01g006352v5 Cre01.g006352
CHLRE_01g006402v5 Cre01.g006402
CHLRE_01g006450v5 Cre01.g006450
CHLRE_01g006500v5 Cre01.g006500
CHLRE_01g006550v5 Cre01.g006550
CHLRE_01g006576v5 Cre01.g006576
CHLRE_01g006600v5 Cre01.g006600
CHLRE_01g006614v5 Cre01.g006614
CHLRE_01g006628v5 Cre01.g006628
CHLRE_01g006642v5 Cre01.g006642
CHLRE_01g006656v5 Cre01.g006656
CHLRE_01g006670v5 Cre01.g006670
CHLRE_01g006700v5 Cre01.g006700
CHLRE_01g006733v5 Cre01.g006733
CHLRE_01g006766v5 Cre01.g006766
CHLRE_01g006800v5 Cre01.g006800
CHLRE_01g006850v5 Cre01.g006850
CHLRE_01g006876v5 Cre01.g006876
CHLRE_01g006900v5 Cre01.g006900
CHLRE_01g006950v5 Cre01.g006950
CHLRE_01g007000v5 Cre01.g007000
CHLRE_01g007050v5 Cre01.g007050
CHLRE_01g007051v5 Name=UBI1
CHLRE_01g007100v5 Cre01.g007100
CHLRE_01g007150v5 Cre01.g007150
CHLRE_01g007200v5 Cre01.g007200
CHLRE_01g007251v5 Cre01.g007251
CHLRE_01g007300v5 Cre01.g007300
CHLRE_01g007350v5 Cre01.g007350
CHLRE_01g007400v5 Cre01.g007400
CHLRE_01g007450v5 Cre01.g007450
CHLRE_01g007500v5 Cre01.g007500
CHLRE_01g007550v5 Cre01.g007550
CHLRE_01g007600v5 Cre01.g007600
CHLRE_01g007651v5 Cre01.g007651
CHLRE_01g007700v5 Cre01.g007700
CHLRE_01g007737v5 Cre01.g007737
CHLRE_01g007774v5 Cre01.g007774
CHLRE_01g007811v5 Cre01.g007811
CHLRE_01g007850v5 Cre01.g007850
CHLRE_01g007901v5 Cre01.g007901
CHLRE_01g007950v5 Cre01.g007950
CHLRE_01g008000v5 Cre01.g008000
CHLRE_01g008051v5 Cre01.g008051
CHLRE_01g008100v5 Cre01.g008100
CHLRE_01g008150v5 Cre01.g008150
CHLRE_01g008200v5 Cre01.g008200
CHLRE_01g008250v5 Cre01.g008250
CHLRE_01g008300v5 Cre01.g008300
CHLRE_01g008350v5 Cre01.g008350
CHLRE_01g008402v5 Cre01.g008402
CHLRE_01g008450v5 Cre01.g008450
CHLRE_01g008500v5 Cre01.g008500
CHLRE_01g008550v5 Cre01.g008550
CHLRE_01g008600v5 Cre01.g008600
CHLRE_01g008650v5 Cre01.g008650
CHLRE_01g008700v5 Cre01.g008700
CHLRE_01g008750v5 Cre01.g008750
CHLRE_01g008800v5 Cre01.g008800
CHLRE_01g008850v5 Cre01.g008850
CHLRE_01g008891v5 Cre01.g008891
CHLRE_01g008900v5 Cre01.g008900
CHLRE_01g008950v5 Cre01.g008950
CHLRE_01g008976v5 Cre01.g008976
CHLRE_01g009000v5 Cre01.g009000
CHLRE_01g009025v5 Cre01.g009025
CHLRE_01g009050v5 Cre01.g009050
CHLRE_01g009101v5 Cre01.g009101
CHLRE_01g009150v5 Cre01.g009150
CHLRE_01g009200v5 Cre01.g009200
CHLRE_01g009250v5 Cre01.g009250
CHLRE_01g009300v5 Cre01.g009300
CHLRE_01g009325v5 Cre01.g009325
CHLRE_01g009350v5 Cre01.g009350
CHLRE_01g009400v5 Cre01.g009400
CHLRE_01g009450v5 Cre01.g009450
CHLRE_01g009500v5 Cre01.g009500
CHLRE_01g009550v5 Cre01.g009550
CHLRE_01g009575v5 Cre01.g009575
CHLRE_01g009601v5 Cre01.g009601
CHLRE_01g009650v5 Cre01.g009650
CHLRE_01g009676v5 Cre01.g009676
CHLRE_01g009700v5 Cre01.g009700
CHLRE_01g009731v5 Cre01.g009731
CHLRE_01g009765v5 Cre01.g009765
CHLRE_01g009800v5 Cre01.g009800
CHLRE_01g009850v5 Cre01.g009850
CHLRE_01g009900v5 Cre01.g009900
CHLRE_01g009950v5 Cre01.g009950
CHLRE_01g010000v5 Cre01.g010000
CHLRE_01g010050v5 Cre01.g010050
CHLRE_01g010100v5 Cre01.g010100
CHLRE_01g010150v5 Cre01.g010150
CHLRE_01g010201v5 Cre01.g010201
CHLRE_01g010250v5 Cre01.g010250
CHLRE_01g010296v5 Cre01.g010296
CHLRE_01g010300v5 Cre01.g010300
CHLRE_01g010350v5 Cre01.g010350
CHLRE_01g010400v5 Cre01.g010400
CHLRE_01g010450v5 Cre01.g010450
CHLRE_01g010500v5 Cre01.g010500
CHLRE_01g010550v5 Cre01.g010550
CHLRE_01g010650v5 Cre01.g010650
CHLRE_01g010700v5 Cre01.g010700
CHLRE_01g010750v5 Cre01.g010750
CHLRE_01g010800v5 Cre01.g010800
CHLRE_01g010816v5 Cre01.g010816
CHLRE_01g010832v5 Cre01.g010832
CHLRE_01g010848v5 Cre01.g010848
CHLRE_01g010864v5 Cre01.g010864
CHLRE_01g010880v5 Cre01.g010880
CHLRE_01g010900v5 Name=GAPA
CHLRE_01g010950v5 Cre01.g010950
CHLRE_01g011000v5 Cre01.g011000
CHLRE_01g011050v5 Cre01.g011050
CHLRE_01g011100v5 Cre01.g011100
CHLRE_01g011150v5 Cre01.g011150
CHLRE_01g011200v5 Cre01.g011200
CHLRE_01g011250v5 Cre01.g011250
CHLRE_01g011300v5 Cre01.g011300
CHLRE_01g011350v5 Cre01.g011350
CHLRE_01g011376v5 Cre01.g011376
CHLRE_01g011400v5 Cre01.g011400
CHLRE_01g011450v5 Cre01.g011450
CHLRE_01g011500v5 Cre01.g011500
CHLRE_01g011550v5 Cre01.g011550
CHLRE_01g011600v5 Cre01.g011600
CHLRE_01g011630v5 Cre01.g011630
CHLRE_01g011660v5 Cre01.g011660
CHLRE_01g011750v5 Cre01.g011750
CHLRE_01g011800v5 Cre01.g011800
CHLRE_01g011850v5 Cre01.g011850
CHLRE_01g011901v5 Cre01.g011901
CHLRE_01g011950v5 Cre01.g011950
CHLRE_01g012000v5 Cre01.g012000
CHLRE_01g012050v5 Cre01.g012050
CHLRE_01g012100v5 Cre01.g012100
CHLRE_01g012126v5 Cre01.g012126
CHLRE_01g012150v5 Cre01.g012150
CHLRE_01g012175v5 Cre01.g012175
CHLRE_01g012200v5 Cre01.g012200
CHLRE_01g012222v5 Cre01.g012222
CHLRE_01g012244v5 Cre01.g012244
CHLRE_01g012300v5 Cre01.g012300
CHLRE_01g012350v5 Cre01.g012350
CHLRE_01g012400v5 Cre01.g012400
CHLRE_01g012450v5 Cre01.g012450
CHLRE_01g012500v5 Cre01.g012500
CHLRE_01g012550v5 Cre01.g012550
CHLRE_01g012600v5 Cre01.g012600
CHLRE_01g012650v5 Cre01.g012650
CHLRE_01g012700v5 Cre01.g012700
CHLRE_01g012750v5 Cre01.g012750
CHLRE_01g012800v5 Cre01.g012800
CHLRE_01g012850v5 Cre01.g012850
CHLRE_01g012900v5 Cre01.g012900
CHLRE_01g012950v5 Cre01.g012950
CHLRE_01g013000v5 Cre01.g013000
CHLRE_01g013050v5 Cre01.g013050
CHLRE_01g013100v5 Cre01.g013100
CHLRE_01g013150v5 Cre01.g013150
CHLRE_01g013200v5 Cre01.g013200
CHLRE_01g013250v5 Cre01.g013250
CHLRE_01g013300v5 Cre01.g013300
CHLRE_01g013350v5 Cre01.g013350
CHLRE_01g013400v5 Cre01.g013400
CHLRE_01g013450v5 Cre01.g013450
CHLRE_01g013500v5 Cre01.g013500
CHLRE_01g013550v5 Cre01.g013550
CHLRE_01g013600v5 Cre01.g013600
CHLRE_01g013650v5 Cre01.g013650
CHLRE_01g013700v5 Cre01.g013700
CHLRE_01g013750v5 Cre01.g013750
CHLRE_01g013769v5 Cre01.g013769
CHLRE_01g013800v5 Cre01.g013800
CHLRE_01g013801v5 Cre01.g013801
CHLRE_01g013850v5 Cre01.g013850
CHLRE_01g013900v5 Cre01.g013900
CHLRE_01g014000v5 Cre01.g014000
CHLRE_01g014050v5 Cre01.g014050
CHLRE_01g014100v5 Cre01.g014100
CHLRE_01g014150v5 Cre01.g014150
CHLRE_01g014200v5 Cre01.g014200
CHLRE_01g014250v5 Cre01.g014250
CHLRE_01g014300v5 Cre01.g014300
CHLRE_01g014350v5 Cre01.g014350
CHLRE_01g014400v5 Cre01.g014400
CHLRE_01g014450v5 Cre01.g014450
CHLRE_01g014500v5 Cre01.g014500
CHLRE_01g014600v5 Cre01.g014600
CHLRE_01g014650v5 Cre01.g014650
CHLRE_01g014700v5 Cre01.g014700
CHLRE_01g014751v5 Cre01.g014751
CHLRE_01g014800v5 Cre01.g014800
CHLRE_01g014850v5 Cre01.g014850
CHLRE_01g014900v5 Cre01.g014900
CHLRE_01g014950v5 Cre01.g014950
CHLRE_01g015000v5 Cre01.g015000
CHLRE_01g015050v5 Cre01.g015050
CHLRE_01g015100v5 Cre01.g015100
CHLRE_01g015103v5 Cre01.g015103
CHLRE_01g015150v5 Cre01.g015150
CHLRE_01g015200v5 Cre01.g015200
CHLRE_01g015250v5 Cre01.g015250
CHLRE_01g015300v5 Cre01.g015300
CHLRE_01g015350v5 Name=PORA
CHLRE_01g015400v5 Cre01.g015400
CHLRE_01g015451v5 Cre01.g015451
CHLRE_01g015500v5 Cre01.g015500
CHLRE_01g015550v5 Cre01.g015550
CHLRE_01g015600v5 Cre01.g015600
CHLRE_01g015650v5 Cre01.g015650
CHLRE_01g015700v5 Cre01.g015700
CHLRE_01g015750v5 Cre01.g015750
CHLRE_01g015850v5 Cre01.g015850
CHLRE_01g015950v5 Cre01.g015950
CHLRE_01g016001v5 Cre01.g016001
CHLRE_01g016050v5 Cre01.g016050
CHLRE_01g016100v5 Cre01.g016100
CHLRE_01g016150v5 Cre01.g016150
CHLRE_01g016200v5 Cre01.g016200
CHLRE_01g016250v5 Cre01.g016250
CHLRE_01g016300v5 Cre01.g016300
CHLRE_01g016350v5 Cre01.g016350
CHLRE_01g016400v5 Cre01.g016400
CHLRE_01g016450v5 Cre01.g016450
CHLRE_01g016500v5 Cre01.g016500
CHLRE_01g016514v5 Cre01.g016514
CHLRE_01g016528v5 Cre01.g016528
CHLRE_01g016542v5 Cre01.g016542
CHLRE_01g016556v5 Cre01.g016556
CHLRE_01g016570v5 Cre01.g016570
CHLRE_01g016600v5 Cre01.g016600
CHLRE_01g016651v5 Cre01.g016651
CHLRE_01g016700v5 Cre01.g016700
CHLRE_01g016750v5 Cre01.g016750
CHLRE_01g016800v5 Cre01.g016800
CHLRE_01g016850v5 Cre01.g016850
CHLRE_01g016900v5 Cre01.g016900
CHLRE_01g016950v5 Cre01.g016950
CHLRE_01g017050v5 Cre01.g017050
CHLRE_01g017100v5 Cre01.g017100
CHLRE_01g017150v5 Cre01.g017150
CHLRE_01g017200v5 Cre01.g017200
CHLRE_01g017250v5 Cre01.g017250
CHLRE_01g017300v5 Cre01.g017300
CHLRE_01g017350v5 Cre01.g017350
CHLRE_01g017400v5 Cre01.g017400
CHLRE_01g017450v5 Cre01.g017450
CHLRE_01g017500v5 Cre01.g017500
CHLRE_01g017550v5 Cre01.g017550
CHLRE_01g017600v5 Cre01.g017600
CHLRE_01g017650v5 Cre01.g017650
CHLRE_01g017701v5 Cre01.g017701
CHLRE_01g017750v5 Cre01.g017750
CHLRE_01g017850v5 Cre01.g017850
CHLRE_01g017900v5 Cre01.g017900
CHLRE_01g017951v5 Cre01.g017951
CHLRE_01g018000v5 Cre01.g018000
CHLRE_01g018050v5 Cre01.g018050
CHLRE_01g018075v5 Cre01.g018075
CHLRE_01g018100v5 Cre01.g018100
CHLRE_01g018150v5 Cre01.g018150
CHLRE_01g018184v5 Cre01.g018184
CHLRE_01g018200v5 Cre01.g018200
CHLRE_01g018350v5 Cre01.g018350
CHLRE_01g018400v5 Cre01.g018400
CHLRE_01g018450v5 Cre01.g018450
CHLRE_01g018500v5 Cre01.g018500
CHLRE_01g018550v5 Cre01.g018550
CHLRE_01g018600v5 Cre01.g018600
CHLRE_01g018650v5 Cre01.g018650
CHLRE_01g018700v5 Cre01.g018700
CHLRE_01g018750v5 Cre01.g018750
CHLRE_01g018800v5 Cre01.g018800
CHLRE_01g018850v5 Cre01.g018850
CHLRE_01g018900v5 Cre01.g018900
CHLRE_01g018950v5 Cre01.g018950
CHLRE_01g019000v5 Cre01.g019000
CHLRE_01g019051v5 Cre01.g019051
CHLRE_01g019100v5 Cre01.g019100
CHLRE_01g019150v5 Cre01.g019150
CHLRE_01g019200v5 Cre01.g019200
CHLRE_01g019250v5 Cre01.g019250
CHLRE_01g019300v5 Cre01.g019300
CHLRE_01g019400v5 Cre01.g019400
CHLRE_01g019450v5 Cre01.g019450
CHLRE_01g019500v5 Cre01.g019500
CHLRE_01g019550v5 Cre01.g019550
CHLRE_01g019600v5 Cre01.g019600
CHLRE_01g019650v5 Cre01.g019650
CHLRE_01g019700v5 Cre01.g019700
CHLRE_01g019750v5 Cre01.g019750
CHLRE_01g019850v5 Cre01.g019850
CHLRE_01g019900v5 Cre01.g019900
CHLRE_01g019950v5 Cre01.g019950
CHLRE_01g020000v5 Cre01.g020000
CHLRE_01g020050v5 Cre01.g020050
CHLRE_01g020100v5 Cre01.g020100
CHLRE_01g020141v5 Cre01.g020141
CHLRE_01g020182v5 Cre01.g020182
CHLRE_01g020223v5 Cre01.g020223
CHLRE_01g020264v5 Cre01.g020264
CHLRE_01g020305v5 Cre01.g020305
CHLRE_01g020350v5 Cre01.g020350
CHLRE_01g020400v5 Cre01.g020400
CHLRE_01g020450v5 Cre01.g020450
CHLRE_01g020500v5 Cre01.g020500
CHLRE_01g020575v5 Cre01.g020575
CHLRE_01g020650v5 Cre01.g020650
CHLRE_01g020701v5 Cre01.g020701
CHLRE_01g020750v5 Cre01.g020750
CHLRE_01g020751v5 Cre01.g020751
CHLRE_01g020800v5 Cre01.g020800
CHLRE_01g020850v5 Cre01.g020850
CHLRE_01g020887v5 Cre01.g020887
CHLRE_01g020918v5 Cre01.g020918
CHLRE_01g020950v5 Cre01.g020950
CHLRE_01g021000v5 Cre01.g021000
CHLRE_01g021050v5 Cre01.g021050
CHLRE_01g021100v5 Cre01.g021100
CHLRE_01g021150v5 Cre01.g021150
CHLRE_01g021200v5 Cre01.g021200
CHLRE_01g021251v5 Cre01.g021251
CHLRE_01g021300v5 Cre01.g021300
CHLRE_01g021350v5 Cre01.g021350
CHLRE_01g021400v5 Cre01.g021400
CHLRE_01g021450v5 Cre01.g021450
CHLRE_01g021500v5 Cre01.g021500
CHLRE_01g021550v5 Cre01.g021550
CHLRE_01g021600v5 Cre01.g021600
CHLRE_01g021650v5 Cre01.g021650
CHLRE_01g021700v5 Cre01.g021700
CHLRE_01g021750v5 Cre01.g021750
CHLRE_01g021800v5 Cre01.g021800
CHLRE_01g021850v5 Cre01.g021850
CHLRE_01g021900v5 Cre01.g021900
CHLRE_01g021950v5 Cre01.g021950
CHLRE_01g022000v5 Cre01.g022000
CHLRE_01g022050v5 Cre01.g022050
CHLRE_01g022100v5 Cre01.g022100
CHLRE_01g022150v5 Cre01.g022150
CHLRE_01g022200v5 Cre01.g022200
CHLRE_01g022250v5 Cre01.g022250
CHLRE_01g022283v5 Cre01.g022283
CHLRE_01g022350v5 Cre01.g022350
CHLRE_01g022400v5 Cre01.g022400
CHLRE_01g022450v5 Cre01.g022450
CHLRE_01g022462v5 Cre01.g022462
CHLRE_01g022500v5 Cre01.g022500
CHLRE_01g022550v5 Cre01.g022550
CHLRE_01g022600v5 Cre01.g022600
CHLRE_01g022650v5 Cre01.g022650
CHLRE_01g022666v5 Cre01.g022666
CHLRE_01g022681v5 Cre01.g022681
CHLRE_01g022700v5 Cre01.g022700
CHLRE_01g022750v5 Cre01.g022750
CHLRE_01g022800v5 Cre01.g022800
CHLRE_01g022850v5 Cre01.g022850
CHLRE_01g022900v5 Cre01.g022900
CHLRE_01g022950v5 Cre01.g022950
CHLRE_01g023000v5 Cre01.g023000
CHLRE_01g023050v5 Cre01.g023050
CHLRE_01g023100v5 Cre01.g023100
CHLRE_01g023150v5 Cre01.g023150
CHLRE_01g023200v5 Cre01.g023200
CHLRE_01g023250v5 Cre01.g023250
CHLRE_01g023300v5 Cre01.g023300
CHLRE_01g023350v5 Cre01.g023350
CHLRE_01g023400v5 Cre01.g023400
CHLRE_01g023450v5 Cre01.g023450
CHLRE_01g023500v5 Cre01.g023500
CHLRE_01g023550v5 Cre01.g023550
CHLRE_01g023600v5 Cre01.g023600
CHLRE_01g023650v5 Cre01.g023650
CHLRE_01g023750v5 Cre01.g023750
CHLRE_01g023773v5 Cre01.g023773
CHLRE_01g023787v5 Cre01.g023787
CHLRE_01g023800v5 Cre01.g023800
CHLRE_01g023850v5 Cre01.g023850
CHLRE_01g023900v5 Cre01.g023900
CHLRE_01g023913v5 Cre01.g023913
CHLRE_01g023950v5 Cre01.g023950
CHLRE_01g024000v5 Cre01.g024000
CHLRE_01g024050v5 Cre01.g024050
CHLRE_01g024100v5 Cre01.g024100
CHLRE_01g024150v5 Cre01.g024150
CHLRE_01g024200v5 Cre01.g024200
CHLRE_01g024250v5 Cre01.g024250
CHLRE_01g024251v5 Cre01.g024251
CHLRE_01g024300v5 Cre01.g024300
CHLRE_01g024350v5 Cre01.g024350
CHLRE_01g024400v5 Cre01.g024400
CHLRE_01g024500v5 Cre01.g024500
CHLRE_01g024550v5 Cre01.g024550
CHLRE_01g024601v5 Cre01.g024601
CHLRE_01g024650v5 Cre01.g024650
CHLRE_01g024750v5 Cre01.g024750
CHLRE_01g024800v5 Cre01.g024800
CHLRE_01g024850v5 Cre01.g024850
CHLRE_01g024900v5 Cre01.g024900
CHLRE_01g024950v5 Cre01.g024950
CHLRE_01g025000v5 Cre01.g025000
CHLRE_01g025025v5 Cre01.g025025
CHLRE_01g025050v5 Cre01.g025050
CHLRE_01g025100v5 Cre01.g025100
CHLRE_01g025150v5 Cre01.g025150
CHLRE_01g025200v5 Cre01.g025200
CHLRE_01g025250v5 Cre01.g025250
CHLRE_01g025300v5 Cre01.g025300
CHLRE_01g025350v5 Cre01.g025350
CHLRE_01g025400v5 Cre01.g025400
CHLRE_01g025450v5 Cre01.g025450
CHLRE_01g025500v5 Cre01.g025500
CHLRE_01g025551v5 Cre01.g025551
CHLRE_01g025600v5 Cre01.g025600
CHLRE_01g025650v5 Cre01.g025650
CHLRE_01g025700v5 Cre01.g025700
CHLRE_01g025726v5 Cre01.g025726
CHLRE_01g025750v5 Cre01.g025750
CHLRE_01g025767v5 Cre01.g025767
CHLRE_01g025808v5 Cre01.g025808
CHLRE_01g025850v5 Cre01.g025850
CHLRE_01g025900v5 Cre01.g025900
CHLRE_01g025950v5 Cre01.g025950
CHLRE_01g025983v5 Cre01.g025983
CHLRE_01g026016v5 Cre01.g026016
CHLRE_01g026050v5 Cre01.g026050
CHLRE_01g026100v5 Cre01.g026100
CHLRE_01g026150v5 Cre01.g026150
CHLRE_01g026200v5 Cre01.g026200
CHLRE_01g026250v5 Cre01.g026250
CHLRE_01g026300v5 Cre01.g026300
CHLRE_01g026350v5 Cre01.g026350
CHLRE_01g026400v5 Cre01.g026400
CHLRE_01g026450v5 Cre01.g026450
CHLRE_01g026500v5 Cre01.g026500
CHLRE_01g026550v5 Cre01.g026550
CHLRE_01g026600v5 Cre01.g026600
CHLRE_01g026650v5 Cre01.g026650
CHLRE_01g026700v5 Cre01.g026700
CHLRE_01g026750v5 Cre01.g026750
CHLRE_01g026800v5 Cre01.g026800
CHLRE_01g026850v5 Cre01.g026850
CHLRE_01g026900v5 Cre01.g026900
CHLRE_01g026950v5 Cre01.g026950
CHLRE_01g027000v5 Cre01.g027000
CHLRE_01g027050v5 Cre01.g027050
CHLRE_01g027100v5 Cre01.g027100
CHLRE_01g027150v5 Cre01.g027150
CHLRE_01g027200v5 Cre01.g027200
CHLRE_01g027250v5 Cre01.g027250
CHLRE_01g027300v5 Cre01.g027300
CHLRE_01g027350v5 Cre01.g027350
CHLRE_01g027400v5 Cre01.g027400
CHLRE_01g027450v5 Cre01.g027450
CHLRE_01g027500v5 Cre01.g027500
CHLRE_01g027550v5 Cre01.g027550
CHLRE_01g027575v5 Cre01.g027575
CHLRE_01g027600v5 Cre01.g027600
CHLRE_01g027650v5 Cre01.g027650
CHLRE_01g027700v5 Cre01.g027700
CHLRE_01g027750v5 Cre01.g027750
CHLRE_01g027764v5 Cre01.g027764
CHLRE_01g027800v5 Cre01.g027800
CHLRE_01g027850v5 Cre01.g027850
CHLRE_01g027900v5 Cre01.g027900
CHLRE_01g027950v5 Name=IFT74
CHLRE_01g028000v5 Cre01.g028000
CHLRE_01g028050v5 Cre01.g028050
CHLRE_01g028101v5 Cre01.g028101
CHLRE_01g028150v5 Cre01.g028150
CHLRE_01g028200v5 Cre01.g028200
CHLRE_01g028250v5 Cre01.g028250
CHLRE_01g028300v5 Cre01.g028300
CHLRE_01g028350v5 Cre01.g028350
CHLRE_01g028400v5 Cre01.g028400
CHLRE_01g028423v5 Cre01.g028423
CHLRE_01g028450v5 Cre01.g028450
CHLRE_01g028500v5 Cre01.g028500
CHLRE_01g028550v5 Cre01.g028550
CHLRE_01g028600v5 Cre01.g028600
CHLRE_01g028650v5 Cre01.g028650
CHLRE_01g028713v5 Cre01.g028713
CHLRE_01g028777v5 Cre01.g028777
CHLRE_01g028850v5 Cre01.g028850
CHLRE_01g028900v5 Cre01.g028900
CHLRE_01g028950v5 Cre01.g028950
CHLRE_01g029000v5 Cre01.g029000
