Cre12.g487650.t1.1	CHLRE_12g487650v5
Cre14.g608200.t1.1	CHLRE_14g608200v5
Cre14.g610900.t1.1	CHLRE_14g610900v5
Cre17.g735550.t1.1	CHLRE_17g735550v5
Cre09.g399701.t1.1	CHLRE_09g399663v5
Cre16.g666300.t1.1	CHLRE_16g666300v5
Cre17.g720600.t1.1	CHLRE_17g720600v5
Cre17.g704300.t1.1	CHLRE_17g704300v5
Cre05.g241637.t1.1	CHLRE_05g241636v5
Cre01.g014450.t1.1	CHLRE_01g014450v5
Cre06.g290900.t1.1	CHLRE_06g290850v5
Cre09.g396920.t1.1	CHLRE_09g396900v5
Cre07.g330750.t1.1	CHLRE_07g330700v5
Cre05.g233650.t1.1	CHLRE_05g233602v5
Cre04.g228850.t1.1	CHLRE_04g228800v5
Cre12.g545101.t1.1	CHLRE_12g545101v5
Cre12.g484250.t1.1	CHLRE_12g484250v5
Cre09.g398050.t1.1	CHLRE_09g398030v5
Cre16.g656350.t1.1	CHLRE_16g656350v5
Cre07.g327750.t1.1	CHLRE_07g327700v5
Cre19.g750147.t1.1	CHLRE_19g750147v5
Cre12.g512650.t1.1	CHLRE_12g512650v5
Cre17.g705500.t1.1	CHLRE_17g705500v5
Cre11.g467527.t1.1	CHLRE_11g467527v5
Cre02.g106650.t1.1	CHLRE_02g106700v5
Cre09.g409901.t1.1	CHLRE_09g409850v5
Cre11.g468359.t1.1	CHLRE_11g468359v5
Cre12.g544550.t1.1	CHLRE_12g544550v5
Cre02.g095088.t1.1	CHLRE_02g095088v5
Cre09.g408650.t1.1	CHLRE_09g408626v5
Cre09.g401450.t1.1	CHLRE_09g401441v5
Cre07.g335650.t1.1	CHLRE_07g335600v5
Cre07.g312950.t1.1	CHLRE_07g312900v5
Cre01.g006000.t1.1	CHLRE_01g006000v5
Cre12.g536200.t1.1	CHLRE_12g536200v5
Cre07.g348450.t1.1	CHLRE_07g348400v5
Cre14.g624950.t1.1	CHLRE_14g624950v5
Cre03.g155300.t1.1	CHLRE_03g155350v5
Cre06.g278140.t1.1	CHLRE_06g278139v5
Cre16.g687800.t1.1	CHLRE_16g687800v5
Cre01.g065822.t1.1	CHLRE_01g065822v5
Cre01.g047900.t1.1	CHLRE_01g047900v5
Cre16.g685450.t1.1	CHLRE_16g685450v5
